timestamp;id;linear_velocity_x;linear_velocity_y;linear_acceleration_x;linear_acceleration_y;yaw_rate;force_x;force_y;torque_n;fault_label
0.6020000000000001;1;0.010229189088611914;0.17454691375673334;-0.27317938208580017;-0.08374230563640593;0.0;-68.8205;3.5280000000000005;-4.2;0
1.102;1;0.0027755540856309762;0.1825657784729228;-0.27928948402404785;-0.08078758418560028;-0.02793025558082459;-143.64800000000002;3.3620000000000005;7.1999999999999975;0
1.602;1;-0.03302459441664922;0.1815604099626451;-0.2900361120700836;-0.07084571570158005;0.2082395021582368;-142.04450000000003;1.2005;1.6;0
2.1020000000000003;1;-0.13636038011292093;0.1537290048187362;-0.26766183972358704;-0.07725111395120621;0.5217947530314727;-139.39200000000002;0.28800000000000003;7.8;0
2.6020000000000003;1;-0.2506313042515241;0.14861121623201234;-0.257851779460907;-0.09438205510377884;1.4635242137978912;-132.61249999999998;0.8405000000000001;-82.8;0
3.1020000000000003;1;-0.3071592938094806;0.12973308928204896;-0.2703617215156555;-0.08264834433794023;1.4869059547496075;-140.9805;0.7605;-134.0;0
3.6020000000000003;1;-0.3685265881664957;0.17176751781178484;-0.2740174829959869;-0.08800696581602098;0.11294586336933207;-122.5125;0.22050000000000008;-134.0;0
4.102;1;-0.4157456285837095;0.14865573896389808;-0.2740954160690308;-0.10444347560405733;0.011198729495726978;-116.162;0.060499999999999984;-140.0;0
4.602;1;-0.4732072234660548;0.11509622261648345;-0.2635159492492676;-0.11426243185997008;-0.6879409123205434;-115.2;0.4205;-134.60000000000002;0
5.102;1;-0.5083713289639337;0.11979222067191365;-0.27927860617637634;-0.11520782858133315;-2.0587366823407667;-121.5245;0.4805;-143.2;0
5.602;1;-0.5604748384175734;0.1186337071221204;-0.2622569799423218;-0.1054236814379692;-2.799681689969843;-105.8;0.33799999999999997;-128.4;0
6.102;1;-0.5912665895747207;0.08718657072721096;-0.28319981694221497;-0.10136782377958298;-3.2025919098295894;-55.44450000000001;0.28800000000000003;-120.8;0
6.602;1;-0.6334437856598264;0.07581763102139565;-0.2715861201286316;-0.12418370693922046;-5.207608303093083;-49.6125;2.592;-130.4;0
7.102;1;-0.6254489573205639;0.04670707824002912;-0.2692185640335083;-0.13778169453144073;-5.076592402633891;-50.56200000000001;2.592;-134.60000000000002;0
7.602;1;-0.5689484470922469;0.04379253659354127;-0.2865455746650696;-0.11767948418855667;-5.122156062265347;-60.55199999999999;1.4580000000000002;-124.8;0
8.102;1;-0.5513605933761552;0.040296484733828256;-0.2685399055480957;-0.10079284012317656;-6.623954113636861;-72.5805;1.0579999999999998;-122.8;0
8.602;1;-0.5488618917676457;0.02588222604583433;-0.2725074887275696;-0.1062023714184761;-7.7416103466205755;-84.4605;1.0579999999999998;-83.8;0
9.102;1;-0.5548334050774325;-0.008856026517993889;-0.2835369110107422;-0.1147392988204956;-8.258097766019644;-87.7805;0.33799999999999997;-2.6;0
9.602;1;-0.584003561898301;-0.02325638382047229;-0.2949815690517425;-0.09271261841058732;-8.090698788291629;-80.40050000000002;-0.0045000000000000005;3.2;0
10.102;1;-0.6081766354295428;-0.047281728983688834;-0.2954992353916168;-0.08787360787391663;-6.885805326901858;-85.698;0.0045000000000000005;11.4;0
10.602;1;-0.6382868011052065;-0.07893608300333542;-0.2799031436443329;-0.09356222301721573;-7.290328738097664;-102.152;0.1805;2.6;0
11.102;1;-0.6525430960971743;-0.088375548863387;-0.2740198373794556;-0.09598582237958908;-5.472690399832588;-111.392;0.0045000000000000005;22.4;0
11.602;1;-0.6417911837660532;-0.11414642939799285;-0.24931228160858154;-0.08277688920497894;-5.030574474493963;-118.5845;0.018000000000000002;6.2;0
12.102;1;-0.6730298084166831;-0.10683262168254178;-0.26758965849876404;-0.07599564641714096;-4.4535076444212764;-117.6125;0.22050000000000008;7.1999999999999975;0
12.602;1;-0.7161510787930007;-0.102103516439533;-0.27104833722114563;-0.09178987145423888;-4.221947946795418;-124.002;0.4205;8.200000000000001;0
13.102;1;-0.7335979455866533;-0.09151885097786737;-0.2771928310394287;-0.07191108912229538;-3.5596840879142637;-121.5245;0.128;-68.0;0
13.602;1;-0.7390559487565187;-0.1169181097120532;-0.26528841257095337;-0.07866939902305603;-3.6706895561227904;-113.76449999999998;0.08449999999999999;-78.2;0
14.102;1;-0.7669893345049015;-0.07028487952029365;-0.27820879220962524;-0.0818571150302887;-3.647352692050844;-113.76449999999998;0.4805;-59.4;0
14.602;1;-0.7756347801690494;-0.04711730194419109;-0.29121121764183044;-0.09300418943166733;-4.0718118474459715;-121.5245;0.5780000000000001;-52.8;0
15.102;1;-0.7754866357159234;-0.07588107125814847;-0.2818531394004822;-0.0704740434885025;-3.9935152058643375;-113.76449999999998;0.22050000000000008;-48.4;0
15.602;1;-0.8030012376329515;-0.07949816203395056;-0.2640523612499237;-0.09125079214572906;-3.4381617423468365;-106.72200000000001;0.33799999999999997;-2.6;0
16.102;1;-0.8263872453519241;-0.053753451363940594;-0.2725235521793365;-0.09053074568510057;-3.2391424143189567;-95.4845;3.1205;7.1999999999999975;0
16.602;1;-0.8268208542954745;-0.05648785496007335;-0.2699420750141144;-0.0852293074131012;-2.710326159813857;-97.682;1.2005;3.8;0
17.102;1;-0.8334181199203418;-0.04731198439731793;-0.2689371705055237;-0.08976207673549652;-2.2277850554708003;0.032;2.3805;30.0;0
17.602;1;-0.8421431941062016;-0.0480441244608141;-0.27653923630714417;-0.07929369807243347;-2.3562860725804438;0.28800000000000003;2.3805;69.19999999999999;0
18.102;1;-0.7910439342466676;-0.04538382543591291;-0.2561028003692627;-0.1020902544260025;-2.287373838646328;0.28800000000000003;3.5280000000000005;81.2;0
18.602;1;-0.7342943654423775;-0.07036489677137382;-0.26107072830200195;-0.0818658173084259;-0.9338851844966112;0.018000000000000002;2.2445000000000004;66.60000000000001;0
19.102;1;-0.7091615775147353;-0.054819347865730006;-0.260705441236496;-0.08474424481391908;-0.5395645750546217;10.951999999999998;1.6245;50.4;0
19.602;1;-0.6937577151435679;-0.027981084708935032;-0.26809659600257874;-0.09832270443439484;0.8397383514200703;122.5125;4.5125;-2.6;0
20.102;1;-0.6336743421199668;-0.0098248244191308;-0.2487598657608032;-0.08676619827747345;1.2154300504791642;149.05800000000005;4.5125;-4.8;0
20.602;1;-0.5613266950969461;-0.0005696652046145094;-0.2866588830947876;-0.10244937241077423;0.5900568121464965;116.162;2.7379999999999995;-40.8;0
21.102;1;-0.4212179587280783;-0.007226297259680725;-0.279035747051239;-0.09296104311943054;0.10934052170501896;139.39200000000002;2.7379999999999995;-62.0;0
